Title,Address,Phone No
Hotel Mira Garden,"Tamabil Rd, Sylhet 3100",01938-112244
The Grand Mafi,"Tamabil Road, E Mira Bazar Rd, Sylhet",01947-337722
Hotel Istanbul,"R.B Tower, Tamabil Rd, Sylhet",01321-230861
Hotel Metro International,"East Bandar Bazar, South, Sylhet 3100"
Hotel Dallas,"Jail Rd, Sylhet 3100",01796-336836
White House Resort,"VVWQ+3QQ, শিবগঞ্জ তামাবিল রোড, Sylhet",01759-335555
Rainbow Guest House,"Mia Fazilchisth, Road Sylhet - Sunamganj Hwy, Sylhet",01712-233500
Hotel Khan View,"45 Rajar Goli, Sylhet 3100",01856-338583
Hotel Grand Shah Kamal,"Point, Shah Kamal Market, Airport Rd, Sylhet 3100",01322-929420
Panshi Inn,"W Tower, North Jail Rd, Sylhet 3100",01710-809337
La Vista Hotel | The Boutique Hotel,"VIP Road, Lamabazar, (opposite Lamabazar Police Fari), Sylhet 3100",01933-009977
Saudia Residential Hotel,"VVMP+HC2, Sylhet",01793-298593
Hotel Fortune Garden,"29/A Bongobir Road, Naiorpul Point, 3100",01705-444111
Nirvana Inn,"Mirzajangal, 3100",01971-336761
Hotel Holy City Ltd,"Rasheed Emporium (2nd Floor), Shahjalal (Rh), East, Dargah Gate, Sylhet 3100",01644-167163
New Hotel Grand View,"Karim Tower, Jail Rd, Sylhet 3100",01404-033001
Hotel Grand Brother's,"02, VVMJ+9WP, Gazi Burhan Uddin Road. Jela porishad supper market, Sayed Burhan Uddin, Sylhet 3100",01942-102080
Hotel Relax inn,"Imperial Complex, Sylhet",01726-646858
Nirapod Holiday Homes,"4 Boro Bazar, Sylhet 3100"
Grand Sawdah,"Shibganj Point, Sylhet 3200"
Grand Sylhet Hotel & Resort,"Khadimnagar Union Parishad, Airport Rd, Sylhet 3100",01321-201600
La Rose Hotel - লা রোজ হোটেল,"16, Ornob Mirer Moidan Point, Sylhet 3100",01966-616662
"Hotel Crystal Rose, Sylhet","Digonto 9, 9 Electric Supply Rd, Sylhet 3100",01896-151203
Hotel Oriental হোটেল ওরিয়েন্টাল,"Unnamed Road, Sylhet",01715-585589
Hotel Grand Zafran,"Lovely Complxe, East Dargah Gate, Sylhet",01300-745434
Hotel Payra,"WV29+W3P, Dargah Gate, Sylhet 3100",01300-817865
Hotel Musafir - হোটেল মুসাফির,"Yamani Palace, Dargah Gate, Sylhet 3100",01757-529976
"Grand Baba Lodge,Sylhet","11th Floor, Ananda Tower, Jail Rd, Sylhet 3100",01714-061933
Hotel South City,"3rd Floor, Motin Complex, Sylhet 3100",01720-115611
Sheikh Vila,"WV2R+JQF, Sylhet 3100",01810-004180
Hotel Syl View,"Naiorpool Rd, Sylhet 3100",01709-932251
Hotel Al Arab,"WV28+RR8, Dargah Gate, Sylhet 3100",01721-812662
Sylvan,"Point, Airport Rd, Sylhet",01711-332928
Hotel Holy Side,"VVX8+W6R, Dorgah Moholla Rd, Sylhet 3100",01711-860719
Hotel Golden City,"East, Sylhet 3100"
Royal Palm,"Amzad Square, 17 Taltola Rd, Sylhet 3100",01714-113196
Hotel East End,"Near Nandita Cinema Hall, Taltola Rd, Sylhet 3100",01718-805920
Hotel Jahan,"66, Ground Floor, East Mirabazar, Tamabil Road, Tamabil Rd, Sylhet 3100",01757-294061
Hotel Grand Lotus Sylhet,"VWX2+33, Sylhet",01955-161517
Hotel Al-Shalim,"Chubhani Ghat Rd, Sylhet",01784-306814
Hazrat Shahjalal Rest House,Sylhet,01792-334292
Rainboo Guest House,"WV55+4HJ, সিলেট - সুনামগঞ্জ মহাসড়ক, Sylhet 3100",01306-614066
Nazal Dormitory Hostel,"Shamoli Shopping Centre, 2nd floor, New, Sylhet 3100",01971-873032
Green view Rest House,"WV35+WMF, Sylhet",01719-896788
