Title,Address,Phone No
Hotel Grand Amir International (Residential),"69 P-Q, Green Road, Panthapath, Opposite Pani Bhaban, Nearby Basundhara City Shopping Complex, Dhaka 1205",01894-666654
Hotel city International Residential (Branch: Panthapath),"44/7 A-B, Karim Tower, West Panthapath, Dhaka 1205",01894-962922
Hotel Suite Palace,"House # 31 R/A, Block # K Road No 13, Dhaka 1212",01703-258928
Gulshan Lake View,"House #7, 1212 Rd No 23/C, Dhaka 1212",01321-202414
Empyrean Hotel,"Empyrean Hotel, BAF Base Bashar, Shaheen Bagh, Beside falcon tower, Tejgoan, Dhaka 1215",01322-823880
Hotel Lake View Plaza,"House no: 88, 16 Rd No 43, Dhaka 1211",01926-679610
HOTEL BLUE BIRD.,"House-06 Lake Dr Rd, Dhaka 1230",01966-037771
Hotel Ornate,"30 Bijoy Nagar Road, Dhaka 1000",01811-408402
THE ELITE RESIDENCE DHAKA,"HOUSE # 50 Rd Number 11, Dhaka 1230",01958-385702
Royal Residence Dhaka,"House- 21 Embassy Rd 1/A, Dhaka 1212",01703-356224
"Holiday Inn Dhaka City Centre, an IHG Hotel","23 Shaheed Tajuddin Ahmed Ave, Dhaka 1208"
Platinum Residence,"42 Rd No. 20/C, Dhaka 1230",01922-110945
The Raintree Dhaka,"Block: K, House: 49 Road: 27, Dhaka 1213",01951-177515
Golden Tulip The Grandmark Dhaka,"House 84 Rd No 7, Dhaka 1213"
Hotel Pacific,"C/A, 120/B Motijheel Rd, Dhaka 1000"
Hotel 71,"176, Shaheed Syed Nazrul Islam Sarani, 47 Bijoy Nagar Road, Dhaka 1000",01750-076933
Hotel Givenci International,"76/A Kazi Nazrul Islam Ave, Dhaka 1215",01715-013435
Grand Oriental Hotel Dhaka,"Road: 23 | Plot: 1/B |, Dhaka 1212",01916-223014
Omni Residency,"Block#D, House#42, Rd No-15, Dhaka 1213",01844-611001
Hotel Grand Royal,"4thfloor, house: 8/A, Road: 4, ( Royal Plaza, Dhaka 1205",01958-488160
Taz Garden House,"House-21/A Road-35, Dhaka 1230"
Pearl Hotel,"Block # K, House# 17 Rd 28, Dhaka 1213",09638-707070
Hotel Dhaka Golden Inn,"Block#K, 1213, House No, 03 Rd No.24, Dhaka 1213",01894-441609
Marino Hotel (Uttara),"House - 45, Road : 11, Sector : 4, Dhaka 1230",01990-437919
Blossom Hotel Pvt Ltd.,"House# 5, Road# 1/A, Block# J, Baridhara, US Embassy Rd, Dhaka 1212",01705-459009
Hotel La Vinci,"54 Kawran Bazar Rd, Dhaka 1215"
HOTEL SHALIMAR MOTIJHEEL - CENTRE OF CITY,"2/A NORTH KAMOLAPUR, BESIDE BRTC, MOTIJHEEL, Dhaka 1217",01404-026066
Royal inn Dhaka,"City View Tower, 24/B Topkhana Road, Dhaka 1000",01611-100475
SEL Nibash Hotel & Serviced Apartments,"30 SEL Green Center, Green Road At the end of Dhanmondi Road No.08 Beside Green Life Hospital Dhaka, Green Rd, Dhaka 1205",01819-558151
Platinum Hotel Ltd,"House 44 Rd No 10, Dhaka 1230",01715-046114
Memento Int Residence,"9 Road-3, Dhaka 1230",01862-500300
Hotel Progati Inn,"Ka 70/B, Kuril Progati Sarani, Vatara, 1229"
"Mohammadia Restaurant & Guest House Dhaka, 1212","Kalachandpur Main Road, Dhaka 1212",01623-697744
Hotel labbaik Dhanmondi,"House No- 67B, 15/A Dhanmondi Bridge, Dhaka 1209",01794-519974
Grand Vistana,"House 11, Road-06, Dhaka 1230",01787-687008
Hotel Labbaik Abasik | Best Hotels In Farmgate,"48 Farmgate - Tejturi Bazar Rd, Dhaka 1205",01811-978530
Richmond Hotel & Suites,"House-2 Rd-10, Dhaka 1230",01974-246663
Studio23 Hotel,"23/3/2, West Tejturi Bazar Rd, Dhaka 1215",01329-684666
Swiss Garden,"House:89, Road:13, Block:D, 13 Road No. 13, Dhaka",01922-117099
Tamim Resort,"8PPQ+WC9 নোয়াগাঁও, 3210",01728-224111
Priyo Nibash | Stylish Residential Hotel,"152/2/K-2 Green Road, Panthapath, Dhaka 1205",01893-469900
Hotel Shahin Residential Jatrabari,"Lift 5th Floor, Rashnoor Square, 138, 2 South, Dhaka 1204",01869-740847
Hotel Milina Ltd & Shirasagi Restaurant Uttara,"house 04, Sector 06 Road-09, Dhaka 1230",01735-121968
Hotel Stay Inn,"04 no Sharif Tower,Sector-4,Road 2B,Bot Tola Rail gate ,Dakshinkhan,Uttara,Dhaka 04 no Sharif Tower,Sector-4,Road, 2B Bot Tola Rail gate, 1230",01914-075454
Coventina Lake Suites,"28 Rd 113, Dhaka 1212",01992-017811
The Westin Dhaka,"Main Gulshan Avenue, Plot-01 Rd 45, Dhaka 1212",02222-291988
HOTEL AFFORD INN,"House 04 Road-03, Dhaka 1230",01788-444555
Pan Pacific Sonargaon Dhaka,"107 Kazi Nazrul Islam Ave, Dhaka 1215"
Hotel Prime Inn Mirpur 10,"Mirpur Rd, Dhaka 1216",01912-288941
Xpressmall Hotels & Resorts,"House - 32 Rd -19, Dhaka 1230",01896-149502
Unique Regency Hotel,"Block C, House 59 Road No. 17, Dhaka 1213",09611-677997
Hotel Istana Ltd Uttara,"Istana hotel Uttara, House 46 Rd -10, Dhaka 1230",01850-718408
Hotel Lake Castle,"Plot # 1A, Road # 68/A, Gulshan-2, Rd No 63, Dhaka 1212",01711-679976
The ENCHANTED,"Block # J, House # 14 Rd No 27, Dhaka 1213",01311-211638
Maya Eco Apartment Service,"House: 1/B, Rd 91, Dhaka 1212",01744-946020
Anchorage The Residence,"House No, 14 Rd No.18, Dhaka 1230",01799-602535
Hotel Tropical Daisy,"2, House, 31/B Rd Number 35/A, Dhaka 1212",01680-436400
Renaissance Dhaka Gulshan Hotel,"78 Gulshan Ave, Dhaka 1212",09638-200100
Amari Dhaka,"HOUSE-47 Road No. 41, Dhaka 1212"
Asia Hotel & Resorts,"34/1 Topkhana Road, Dhaka 1000",01844-152844
Jatra Flagship Dhaka Lake View,"Road No. 41, Dhaka 1212",01309-552872
Grand Plaza Hotel,"House 29 Rd 3/B, 21 Road No. 3B, Dhaka 1230",01777-775572
Hotel Century Park,"House no: 36, House 36 Rd 117, Dhaka 1212",01841-809026
Galesia Hotel & Resort ltd.,"HOUSE : 39, ROAD : 21, BLOCK : B, Dhaka 1213"
Hotel New Kalabagan,"brothers mansion, 8 Mirpur Rd, Dhaka 1205",01715-635354
RRC International Hotel,"House-3, Road-13, Sector -1, Uttara, Near Jasim Uddin Bus Stop Uttara, Dhaka 1230"
Hotel Bengal Canary Park |,"Plot #08, Rd No 16A, Dhaka 1212",01622-666620
Nascent Gardenia Residence,"Society, House#17, Road#1, Block#B Niketon Housing, Dhaka 1212",01847-091421
Hotel Indropuri International,"5/B Indira Rd, Dhaka 1215",01989-000555
Hotel Sikder Residential - হোটেল শিকদার আবাসিক,"149/Ga, Shah Ali Bag, Mirpur-1, Dhaka-1216, Dhaka 1216",01861-140000
Hotel Shahin Residential,"Shahin Mansion, 60 Shaheed Tajuddin Ahmed Ave, Dhaka 1212",01716-983934
HOTEL MUNA International Residential,"37, 38 Green Rd, Dhaka 1205",01784-011232
"Nascent Gardenia, Baridhara","Diplomatic Zone, 27 Park Rd, Dhaka 1212",01841-001112
Hotel Highgarden,"House #40, Road #03, Sector #13, Dhaka 1230"
Hotel Royal Palace,"31/D Topkhana Road, Dhaka 1000",01747-906414
Hotel West Valley,"House 8/A, Road 13 Kalachandpur Main Road, Dhaka 1212",01958-492425
Omni Residency (Baridhara),"Baridhara Diplomatic Zone, House No, 06 Rd No.14, Dhaka 1212",01898-801700
