name,link
Hotel Supreme,https://www.google.com/maps/place/Hotel+Supreme/data=!4m10!3m9!1s0x375054d279427b2b:0x53c1775b1a01c148!5m2!4m1!1i2!8m2!3d24.8950713!4d91.8830435!16s%2Fg%2F1vd7482x!19sChIJK3tCedJUUDcRSMEBGlt3wVM?authuser=0&hl=en&rclk=1
Hotel HGA,https://www.google.com/maps/place/Hotel+HGA/data=!4m10!3m9!1s0x37505512c8d35385:0x3bd381e37c5fccc4!5m2!4m1!1i2!8m2!3d24.9108546!4d91.8546134!16s%2Fg%2F11trzpfhy8!19sChIJhVPTyBJVUDcRxMxffOOB0zs?authuser=0&hl=en&rclk=1
Hotel Grand Surma,https://www.google.com/maps/place/Hotel+Grand+Surma/data=!4m10!3m9!1s0x3751ab532896d733:0xd5a1914883a3eeb7!5m2!4m1!1i2!8m2!3d24.8839627!4d91.882328!16s%2Fg%2F11h_stvpq9!19sChIJM9eWKFOrUTcRt-6jg0iRodU?authuser=0&hl=en&rclk=1
Britannia Hotel Sylhet,https://www.google.com/maps/place/Britannia+Hotel+Sylhet/data=!4m10!3m9!1s0x37505527d8db6e9b:0xa800602f348aa226!5m2!4m1!1i2!8m2!3d24.9045086!4d91.8692757!16s%2Fg%2F1hd_48ncs!19sChIJm27b2CdVUDcRJqKKNC9gAKg?authuser=0&hl=en&rclk=1
Rahma’s B & B - Bed & Breakfast,https://www.google.com/maps/place/Rahma%E2%80%99s+B+%26+B+-+Bed+%26+Breakfast/data=!4m10!3m9!1s0x375055a622cd54eb:0x1053ade43c1ed7b2!5m2!4m1!1i2!8m2!3d24.901723!4d91.8697793!16s%2Fg%2F11ty2r6jjj!19sChIJ61TNIqZVUDcRstcePOStUxA?authuser=0&hl=en&rclk=1
Hotel Holy Gate,https://www.google.com/maps/place/Hotel+Holy+Gate/data=!4m10!3m9!1s0x375055284f336129:0x8adff902cb9f5b0c!5m2!4m1!1i2!8m2!3d24.9021425!4d91.8693552!16s%2Fg%2F1hdz07d6s!19sChIJKWEzTyhVUDcRDFufywL534o?authuser=0&hl=en&rclk=1
Hotel Ali Plaza,https://www.google.com/maps/place/Hotel+Ali+Plaza/data=!4m10!3m9!1s0x3751ab37ca2c8c07:0x85ddc2de7b3910!5m2!4m1!1i2!8m2!3d24.8781127!4d91.8757701!16s%2Fg%2F11h6mmmj_5!19sChIJB4wsyjerUTcREDl73sLdhQA?authuser=0&hl=en&rclk=1
Hotel Garden Inn,https://www.google.com/maps/place/Hotel+Garden+Inn/data=!4m10!3m9!1s0x3751ab31e02a9a35:0xcd6b4771364bbb97!5m2!4m1!1i2!8m2!3d24.8851722!4d91.8805081!16s%2Fg%2F1hc1nppvv!19sChIJNZoq4DGrUTcRl7tLNnFHa80?authuser=0&hl=en&rclk=1
Hotel Grand Usman,https://www.google.com/maps/place/Hotel+Grand+Usman/data=!4m10!3m9!1s0x375055411c7df269:0xa4e3688ac86a2444!5m2!4m1!1i2!8m2!3d24.9010349!4d91.8657595!16s%2Fg%2F11p6r8zxzc!19sChIJafJ9HEFVUDcRRCRqyIpo46Q?authuser=0&hl=en&rclk=1
W Hotel,https://www.google.com/maps/place/W+Hotel/data=!4m10!3m9!1s0x37505529b57a0611:0xc6a1a5d3c3079ccf!5m2!4m1!1i2!8m2!3d24.901308!4d91.869604!16s%2Fg%2F11vwp89q08!19sChIJEQZ6tSlVUDcRz5wHw9OlocY?authuser=0&hl=en&rclk=1
Grand Palace Sylhet,https://www.google.com/maps/place/Grand+Palace+Sylhet/data=!4m10!3m9!1s0x375055d258350fef:0x4e792081c8b8ea21!5m2!4m1!1i2!8m2!3d24.8941127!4d91.8659689!16s%2Fg%2F11t_ls5kvr!19sChIJ7w81WNJVUDcRIeq4yIEgeU4?authuser=0&hl=en&rclk=1
Grand Mostafa Hotel Ababil,https://www.google.com/maps/place/Grand+Mostafa+Hotel+Ababil/data=!4m10!3m9!1s0x375055f7324b5adb:0xc2c65ac031b9014e!5m2!4m1!1i2!8m2!3d24.9019684!4d91.867136!16s%2Fg%2F11j99n0spn!19sChIJ21pLMvdVUDcRTgG5McBaxsI?authuser=0&hl=en&rclk=1
Hotel Mira Garden,https://www.google.com/maps/place/Hotel+Mira+Garden/data=!4m10!3m9!1s0x3750550b380fcb9d:0x96427e132282a033!5m2!4m1!1i2!8m2!3d24.8947029!4d91.8799133!16s%2Fg%2F11fjz707fr!19sChIJncsPOAtVUDcRM6CCIhN-QpY?authuser=0&hl=en&rclk=1
The Grand Mafi,https://www.google.com/maps/place/The+Grand+Mafi/data=!4m10!3m9!1s0x375053512aea3ae7:0x221660aee552cb6a!5m2!4m1!1i2!8m2!3d24.8954011!4d91.8841849!16s%2Fg%2F11sfsh4sh0!19sChIJ5zrqKlFTUDcRastS5a5gFiI?authuser=0&hl=en&rclk=1
Hotel Istanbul,https://www.google.com/maps/place/Hotel+Istanbul/data=!4m10!3m9!1s0x37505532396d68d5:0x93c69c8bc8484351!5m2!4m1!1i2!8m2!3d24.8954218!4d91.8854488!16s%2Fg%2F11tf6cyn1k!19sChIJ1WhtOTJVUDcRUUNIyIucxpM?authuser=0&hl=en&rclk=1
Hotel Metro International,https://www.google.com/maps/place/Hotel+Metro+International/data=!4m10!3m9!1s0x3751ab2b53d501c1:0x9e0d199543edbd75!5m2!4m1!1i2!8m2!3d24.8921892!4d91.8753064!16s%2Fg%2F1hf7rm26p!19sChIJwQHVUyurUTcRdb3tQ5UZDZ4?authuser=0&hl=en&rclk=1
Hotel Dallas,https://www.google.com/maps/place/Hotel+Dallas/data=!4m10!3m9!1s0x375054d458daac77:0x37c49920379b1fae!5m2!4m1!1i2!8m2!3d24.8956642!4d91.8742065!16s%2Fg%2F119tfcxjy!19sChIJd6zaWNRUUDcRrh-bNyCZxDc?authuser=0&hl=en&rclk=1
White House Resort,https://www.google.com/maps/place/White+House+Resort/data=!4m10!3m9!1s0x37505530bf0069a3:0x1814ebcf14e8e4c1!5m2!4m1!1i2!8m2!3d24.89535!4d91.8896508!16s%2Fg%2F11trdwvq8p!19sChIJo2kAvzBVUDcRweToFM_rFBg?authuser=0&hl=en&rclk=1
Rainbow Guest House,https://www.google.com/maps/place/Rainbow+Guest+House/data=!4m10!3m9!1s0x37505525a324a3db:0x400ee8b5b5933fd8!5m2!4m1!1i2!8m2!3d24.9062126!4d91.8640781!16s%2Fg%2F11rxn391h!19sChIJ26MkoyVVUDcR2D-TtbXoDkA?authuser=0&hl=en&rclk=1
Hotel Khan View,https://www.google.com/maps/place/Hotel+Khan+View/data=!4m10!3m9!1s0x375055bfb5ef2527:0xab337fe845373f18!5m2!4m1!1i2!8m2!3d24.9051798!4d91.867967!16s%2Fg%2F11mqwl2d9b!19sChIJJyXvtb9VUDcRGD83Reh_M6s?authuser=0&hl=en&rclk=1
Hotel Grand Shah Kamal,https://www.google.com/maps/place/Hotel+Grand+Shah+Kamal/data=!4m10!3m9!1s0x375055dece24e429:0x6913922f44db4185!5m2!4m1!1i2!8m2!3d24.9054433!4d91.8701218!16s%2Fg%2F11t1sm25xt!19sChIJKeQkzt5VUDcRhUHbRC-SE2k?authuser=0&hl=en&rclk=1
Panshi Inn,https://www.google.com/maps/place/Panshi+Inn/data=!4m10!3m9!1s0x375054d5a19e1f49:0xda9ce134d5ce66d6!5m2!4m1!1i2!8m2!3d24.895586!4d91.874443!16s%2Fg%2F11by_wy5g3!19sChIJSR-eodVUUDcR1mbO1TThnNo?authuser=0&hl=en&rclk=1
La Vista Hotel | The Boutique Hotel,https://www.google.com/maps/place/La+Vista+Hotel+%7C+The+Boutique+Hotel/data=!4m10!3m9!1s0x375055329ee10409:0xa1ed7429ac9b2b12!5m2!4m1!1i2!8m2!3d24.8942966!4d91.8606793!16s%2Fg%2F11c0r4ysc0!19sChIJCQThnjJVUDcREiubrCl07aE?authuser=0&hl=en&rclk=1
Saudia Residential Hotel,https://www.google.com/maps/place/Saudia+Residential+Hotel/data=!4m10!3m9!1s0x3751ab00491afc9b:0x554bce4e3a8ac1ab!5m2!4m1!1i2!8m2!3d24.883952!4d91.885976!16s%2Fg%2F11vx25xr5r!19sChIJm_waSQCrUTcRq8GKOk7OS1U?authuser=0&hl=en&rclk=1
Hotel Fortune Garden,https://www.google.com/maps/place/Hotel+Fortune+Garden/data=!4m10!3m9!1s0x375054d30bd207a1:0x869b9711441201aa!5m2!4m1!1i2!8m2!3d24.8951747!4d91.8773511!16s%2Fg%2F1tp8ydlg!19sChIJoQfSC9NUUDcRqgESRBGXm4Y?authuser=0&hl=en&rclk=1
Nirvana Inn,https://www.google.com/maps/place/Nirvana+Inn/data=!4m10!3m9!1s0x3750552cd77aff43:0x77aa5c2368933e2d!5m2!4m1!1i2!8m2!3d24.8934891!4d91.8637925!16s%2Fg%2F11cffpb8f!19sChIJQ_961yxVUDcRLT6TaCNcqnc?authuser=0&hl=en&rclk=1
Hotel Holy City Ltd,https://www.google.com/maps/place/Hotel+Holy+City+Ltd/data=!4m10!3m9!1s0x375055a033daec19:0x17720f2891dacf96!5m2!4m1!1i2!8m2!3d24.9023265!4d91.8689575!16s%2Fg%2F11j2r3gznb!19sChIJGezaM6BVUDcRls_akSgPchc?authuser=0&hl=en&rclk=1
New Hotel Grand View,https://www.google.com/maps/place/New+Hotel+Grand+View/data=!4m10!3m9!1s0x375055b788f7834b:0x4451293b43e72a0b!5m2!4m1!1i2!8m2!3d24.895601!4d91.8726133!16s%2Fg%2F11rr7jljyd!19sChIJS4P3iLdVUDcRCyrnQzspUUQ?authuser=0&hl=en&rclk=1
Hotel Grand Brother's,https://www.google.com/maps/place/Hotel+Grand+Brother%27s/data=!4m10!3m9!1s0x3751aba6ec93ec1d:0x73d11460053d9d99!5m2!4m1!1i2!8m2!3d24.8833182!4d91.8823835!16s%2Fg%2F11tg40287q!19sChIJHeyT7KarUTcRmZ09BWAU0XM?authuser=0&hl=en&rclk=1
Hotel Relax inn,https://www.google.com/maps/place/Hotel+Relax+inn/data=!4m10!3m9!1s0x375055002662de31:0x8d0aa54a0d604497!5m2!4m1!1i2!8m2!3d24.8953537!4d91.8753412!16s%2Fg%2F11vyj5gq14!19sChIJMd5iJgBVUDcRl0RgDUqlCo0?authuser=0&hl=en&rclk=1
Nirapod Holiday Homes,https://www.google.com/maps/place/Nirapod+Holiday+Homes/data=!4m10!3m9!1s0x37505596999b0321:0xaf8615291dc66819!5m2!4m1!1i2!8m2!3d24.9055362!4d91.8718373!16s%2Fg%2F11w7pzqcw4!19sChIJIQObmZZVUDcRGWjGHSkVhq8?authuser=0&hl=en&rclk=1
Grand Sawdah,https://www.google.com/maps/place/Grand+Sawdah/data=!4m10!3m9!1s0x3750550530b02fad:0xd2d5c1ef2afb73d3!5m2!4m1!1i2!8m2!3d24.8951745!4d91.8912668!16s%2Fg%2F11s96m3rkf!19sChIJrS-wMAVVUDcR03P7Ku_B1dI?authuser=0&hl=en&rclk=1
Grand Sylhet Hotel & Resort,https://www.google.com/maps/place/Grand+Sylhet+Hotel+%26+Resort/data=!4m10!3m9!1s0x375055b0809312fb:0x313f779160064c08!5m2!4m1!1i2!8m2!3d24.9549039!4d91.8612712!16s%2Fg%2F1tjff5_s!19sChIJ-xKTgLBVUDcRCEwGYJF3PzE?authuser=0&hl=en&rclk=1
La Rose Hotel - লা রোজ হোটেল,https://www.google.com/maps/place/La+Rose+Hotel+-+%E0%A6%B2%E0%A6%BE+%E0%A6%B0%E0%A7%8B%E0%A6%9C+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2/data=!4m10!3m9!1s0x3750552faf839deb:0xf0f270af08229176!5m2!4m1!1i2!8m2!3d24.9022083!4d91.8630406!16s%2Fg%2F11b7qb_njh!19sChIJ652Dry9VUDcRdpEiCK9w8vA?authuser=0&hl=en&rclk=1
"Hotel Crystal Rose, Sylhet","https://www.google.com/maps/place/Hotel+Crystal+Rose,+Sylhet/data=!4m10!3m9!1s0x37505574f163f92b:0x4aba036d2ac62c92!5m2!4m1!1i2!8m2!3d24.9052519!4d91.8725913!16s%2Fg%2F11k52r3bvb!19sChIJK_lj8XRVUDcRkizGKm0Duko?authuser=0&hl=en&rclk=1"
Hotel Oriental হোটেল ওরিয়েন্টাল,https://www.google.com/maps/place/Hotel+Oriental+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%93%E0%A6%B0%E0%A6%BF%E0%A7%9F%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B2/data=!4m10!3m9!1s0x3751ab4707c4d385:0xeb8a0f91cbbc8950!5m2!4m1!1i2!8m2!3d24.8918571!4d91.8718696!16s%2Fg%2F11g187plvk!19sChIJhdPEB0erUTcRUIm8y5EPius?authuser=0&hl=en&rclk=1
Hotel Grand Zafran,https://www.google.com/maps/place/Hotel+Grand+Zafran/data=!4m10!3m9!1s0x3750557e9696f3a3:0xc4e1ce25aeb9392d!5m2!4m1!1i2!8m2!3d24.9023957!4d91.8698182!16s%2Fg%2F11fqzvkhb_!19sChIJo_OWln5VUDcRLTm5riXO4cQ?authuser=0&hl=en&rclk=1
Hotel Payra,https://www.google.com/maps/place/Hotel+Payra/data=!4m10!3m9!1s0x37505528efed5a25:0xa94294540addade7!5m2!4m1!1i2!8m2!3d24.9023483!4d91.8677157!16s%2Fg%2F1hg4sb9th!19sChIJJVrt7yhVUDcR563dClSUQqk?authuser=0&hl=en&rclk=1
Hotel Musafir - হোটেল মুসাফির,https://www.google.com/maps/place/Hotel+Musafir+-+%E0%A6%B9%E0%A7%8B%E0%A6%9F%E0%A7%87%E0%A6%B2+%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%BE%E0%A6%AB%E0%A6%BF%E0%A6%B0/data=!4m10!3m9!1s0x375055e4c5c6a0b7:0x3540b2d68204ba48!5m2!4m1!1i2!8m2!3d24.9020786!4d91.8675918!16s%2Fg%2F11h9nfnvn0!19sChIJt6DGxeRVUDcRSLoEgtayQDU?authuser=0&hl=en&rclk=1
"Grand Baba Lodge,Sylhet","https://www.google.com/maps/place/Grand+Baba+Lodge,Sylhet/data=!4m10!3m9!1s0x37505516de8a5441:0xde2954dbc2b55f49!5m2!4m1!1i2!8m2!3d24.8955157!4d91.8749414!16s%2Fg%2F11gtyslhm5!19sChIJQVSK3hZVUDcRSV-1wttUKd4?authuser=0&hl=en&rclk=1"
Hotel South City,https://www.google.com/maps/place/Hotel+South+City/data=!4m10!3m9!1s0x3751ab2f53011621:0x2b495df42c77acf5!5m2!4m1!1i2!8m2!3d24.8800096!4d91.8751688!16s%2Fg%2F11c2kk5_j7!19sChIJIRYBUy-rUTcR9ax3LPRdSSs?authuser=0&hl=en&rclk=1
Sheikh Vila,https://www.google.com/maps/place/Sheikh+Vila/data=!4m10!3m9!1s0x375054b7b4000677:0x58b54d733b8118e1!5m2!4m1!1i2!8m2!3d24.901556!4d91.891913!16s%2Fg%2F11vx0x9f55!19sChIJdwYAtLdUUDcR4RiBO3NNtVg?authuser=0&hl=en&rclk=1
Hotel Syl View,https://www.google.com/maps/place/Hotel+Syl+View/data=!4m10!3m9!1s0x375054d2e0214e3b:0x5420ca0715aafde4!5m2!4m1!1i2!8m2!3d24.89418!4d91.8783516!16s%2Fg%2F11c2p8d5n1!19sChIJO04h4NJUUDcR5P2qFQfKIFQ?authuser=0&hl=en&rclk=1
Hotel Al Arab,https://www.google.com/maps/place/Hotel+Al+Arab/data=!4m10!3m9!1s0x37505528dc60f82b:0x73634517bab07aa4!5m2!4m1!1i2!8m2!3d24.9020356!4d91.8670665!16s%2Fg%2F1hg4zvxyx!19sChIJK_hg3ChVUDcRpHqwuhdFY3M?authuser=0&hl=en&rclk=1
Sylvan,https://www.google.com/maps/place/Sylvan/data=!4m10!3m9!1s0x375055c2dbf9d225:0x4e75ce2bc1e03443!5m2!4m1!1i2!8m2!3d24.9139526!4d91.8727971!16s%2Fg%2F11vm48yj2f!19sChIJJdL528JVUDcRQzTgwSvOdU4?authuser=0&hl=en&rclk=1
Hotel Holy Side,https://www.google.com/maps/place/Hotel+Holy+Side/data=!4m10!3m9!1s0x3750552eb635bcb7:0xa0e274d9741d9af0!5m2!4m1!1i2!8m2!3d24.8999383!4d91.86551!16s%2Fg%2F1hdz3mf45!19sChIJt7w1ti5VUDcR8JoddNl04qA?authuser=0&hl=en&rclk=1
Hotel Golden City,https://www.google.com/maps/place/Hotel+Golden+City/data=!4m10!3m9!1s0x3750552a8f51bed9:0x333a8449c7d65728!5m2!4m1!1i2!8m2!3d24.895102!4d91.8702909!16s%2Fg%2F11cfcgm6s!19sChIJ2b5RjypVUDcRKFfWx0mEOjM?authuser=0&hl=en&rclk=1
Royal Palm,https://www.google.com/maps/place/Royal+Palm/data=!4m10!3m9!1s0x3751abdbce4bac37:0x1e7c11867f12a0fc!5m2!4m1!1i2!8m2!3d24.8913917!4d91.8653717!16s%2Fg%2F11h0009yyp!19sChIJN6xLzturUTcR_KASf4YRfB4?authuser=0&hl=en&rclk=1
Hotel East End,https://www.google.com/maps/place/Hotel+East+End/data=!4m10!3m9!1s0x3751aad31c4403bd:0x24a0492a83cfff2a!5m2!4m1!1i2!8m2!3d24.8906606!4d91.8638361!16s%2Fg%2F11cfgfq6y!19sChIJvQNEHNOqUTcRKv_PgypJoCQ?authuser=0&hl=en&rclk=1
Hotel Jahan,https://www.google.com/maps/place/Hotel+Jahan/data=!4m10!3m9!1s0x375054ccf65a6e6d:0x9b0ecb92425ab363!5m2!4m1!1i2!8m2!3d24.8951946!4d91.8839228!16s%2Fg%2F124stn78j!19sChIJbW5a9sxUUDcRY7NaQpLLDps?authuser=0&hl=en&rclk=1
Hotel Grand Lotus Sylhet,https://www.google.com/maps/place/Hotel+Grand+Lotus+Sylhet/data=!4m10!3m9!1s0x3750552cf30ab889:0xe19396a3ca34adf3!5m2!4m1!1i2!8m2!3d24.8976504!4d91.9001909!16s%2Fg%2F11kqfyf66m!19sChIJibgK8yxVUDcR8600yqOWk-E?authuser=0&hl=en&rclk=1
Hotel Al-Shalim,https://www.google.com/maps/place/Hotel+Al-Shalim/data=!4m10!3m9!1s0x3751ab31fd498537:0xeb98bb4729c34100!5m2!4m1!1i2!8m2!3d24.8862744!4d91.8807249!16s%2Fg%2F11clvgkh7p!19sChIJN4VJ_TGrUTcRAEHDKUe7mOs?authuser=0&hl=en&rclk=1
Hazrat Shahjalal Rest House,https://www.google.com/maps/place/Hazrat+Shahjalal+Rest+House/data=!4m10!3m9!1s0x37505528c4055d89:0x840e61df6ca4e120!5m2!4m1!1i2!8m2!3d24.9025481!4d91.8667474!16s%2Fg%2F11f122pmwx!19sChIJiV0FxChVUDcRIOGkbN9hDoQ?authuser=0&hl=en&rclk=1
Rainboo Guest House,https://www.google.com/maps/place/Rainboo+Guest+House/data=!4m10!3m9!1s0x375055616fb7a3c1:0xdc069f18b1e47ce1!5m2!4m1!1i2!8m2!3d24.9078289!4d91.8589018!16s%2Fg%2F11q3qh5_xk!19sChIJwaO3b2FVUDcR4XzksRifBtw?authuser=0&hl=en&rclk=1
Nazal Dormitory Hostel,https://www.google.com/maps/place/Nazal+Dormitory+Hostel/data=!4m10!3m9!1s0x375055fd3355cfbb:0x730aa9d68f45fcf7!5m2!4m1!1i2!8m2!3d24.8977482!4d91.868273!16s%2Fg%2F11h7sw290f!19sChIJu89VM_1VUDcR9_xFj9apCnM?authuser=0&hl=en&rclk=1
Green view Rest House,https://www.google.com/maps/place/Green+view+Rest+House/data=!4m10!3m9!1s0x37505596751d11b5:0xce57ee02bfdc0977!5m2!4m1!1i2!8m2!3d24.9048177!4d91.859176!16s%2Fg%2F11h64x_nrw!19sChIJtREddZZVUDcRdwncvwLuV84?authuser=0&hl=en&rclk=1
